epoch,loss,grad_norm,learning_rate,step,eval_loss,eval_rouge/rouge1,eval_rouge/rouge2,eval_rouge/rougeL,eval_rouge/rougeLsum,eval_bertscore/bertscore-precision,eval_bertscore/bertscore-recall,eval_bertscore/bertscore-f1,eval_meteor,eval_gen_len,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1,1.2307,7.044273376464844,2.7013824884792627e-05,434,2.131164312362671,0.4591,0.2098,0.3873,0.3883,0.8977,0.892,0.8947,0.4036,37.49090909090909,39.0634,2.816,0.717,0.0,0.0,0.0,0,0.0
2,0.888,9.07543659210205,2.401382488479263e-05,868,2.2052884101867676,0.4516,0.2075,0.3834,0.3857,0.8957,0.8906,0.893,0.3977,35.22727272727273,36.8906,2.982,0.759,0.0,0.0,0.0,0,0.0
3,0.784,10.506844520568848,2.1013824884792627e-05,1302,2.369518756866455,0.4573,0.2136,0.3893,0.3911,0.8972,0.8904,0.8937,0.4003,34.8,37.4059,2.941,0.749,0.0,0.0,0.0,0,0.0
4,0.5673,11.79524040222168,1.8013824884792628e-05,1736,2.6218245029449463,0.4714,0.2118,0.3982,0.3996,0.8947,0.8924,0.8934,0.4235,39.27272727272727,42.4035,2.594,0.66,0.0,0.0,0.0,0,0.0
5,0.4163,7.006112575531006,1.5013824884792628e-05,2170,2.915055990219116,0.4683,0.2131,0.4005,0.4023,0.8958,0.8916,0.8935,0.4129,36.75454545454546,38.6116,2.849,0.725,0.0,0.0,0.0,0,0.0
6,0.3021,8.376012802124023,1.2027649769585253e-05,2604,3.09615159034729,0.4648,0.2045,0.3918,0.3935,0.8967,0.893,0.8947,0.4119,37.06363636363636,39.3146,2.798,0.712,0.0,0.0,0.0,0,0.0
7,0.2266,10.76073932647705,9.027649769585254e-06,3038,3.278224468231201,0.4639,0.2074,0.3907,0.3925,0.8942,0.8941,0.894,0.4203,38.92727272727273,41.9393,2.623,0.668,0.0,0.0,0.0,0,0.0
8,0.1684,6.222594738006592,6.04147465437788e-06,3472,3.4198455810546875,0.4565,0.1964,0.3822,0.3841,0.8934,0.8905,0.8918,0.4035,37.18181818181818,38.1398,2.884,0.734,0.0,0.0,0.0,0,0.0
9,0.1347,5.187015533447266,3.0414746543778802e-06,3906,3.4878387451171875,0.4723,0.2189,0.3987,0.4005,0.8954,0.8957,0.8954,0.4308,39.527272727272724,41.4597,2.653,0.675,0.0,0.0,0.0,0,0.0
10,0.1124,3.671386241912842,4.1474654377880186e-08,6510,3.5339393615722656,0.4605,0.2065,0.3887,0.3902,0.8931,0.8914,0.8921,0.4157,37.836363636363636,39.1393,2.81,0.715,1402.1905,6.183,1.548,5550942739046400,0.48305123764249036
