epoch,loss,grad_norm,learning_rate,step,eval_loss,eval_rouge/rouge1,eval_rouge/rouge2,eval_rouge/rougeL,eval_rouge/rougeLsum,eval_bertscore/bertscore-precision,eval_bertscore/bertscore-recall,eval_bertscore/bertscore-f1,eval_meteor,eval_gen_len,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1,0.6813,16.62317657470703,2.7006912442396313e-05,868,2.4587619304656982,0.4636,0.2101,0.3907,0.3921,0.8975,0.8904,0.8937,0.4099,35.07272727272727,44.8767,2.451,1.226,0.0,0.0,0.0,0,0.0
2,0.6702,14.569324493408203,2.401382488479263e-05,1736,2.5376691818237305,0.4448,0.1862,0.3725,0.3735,0.8942,0.8887,0.8913,0.3825,35.72727272727273,46.2653,2.378,1.189,0.0,0.0,0.0,0,0.0
3,0.4591,5.302417755126953,2.1013824884792627e-05,2604,2.8762128353118896,0.4533,0.1916,0.3767,0.3778,0.8961,0.8897,0.8928,0.3911,35.20909090909091,46.2926,2.376,1.188,0.0,0.0,0.0,0,0.0
4,0.3165,19.032331466674805,1.8013824884792628e-05,3472,3.212897300720215,0.4519,0.1976,0.3803,0.3806,0.8936,0.891,0.8922,0.4023,37.63636363636363,47.8218,2.3,1.15,0.0,0.0,0.0,0,0.0
5,0.2222,8.49089527130127,1.5013824884792628e-05,4340,3.4971401691436768,0.47,0.2049,0.392,0.3924,0.8959,0.8926,0.8941,0.4107,36.554545454545455,47.5124,2.315,1.158,0.0,0.0,0.0,0,0.0
6,0.1596,12.340925216674805,1.2013824884792626e-05,5208,3.640471935272217,0.4607,0.2101,0.3853,0.3879,0.8943,0.8908,0.8924,0.4021,37.22727272727273,47.1862,2.331,1.166,0.0,0.0,0.0,0,0.0
7,0.1166,2.6551051139831543,9.013824884792626e-06,6076,3.782679319381714,0.4759,0.2191,0.4086,0.4106,0.8988,0.8928,0.8956,0.4173,35.57272727272727,45.8114,2.401,1.201,0.0,0.0,0.0,0,0.0
8,0.0891,22.9954891204834,6.013824884792626e-06,6944,3.93878173828125,0.4677,0.2047,0.3905,0.3925,0.8933,0.8927,0.8929,0.417,38.7,48.9091,2.249,1.125,0.0,0.0,0.0,0,0.0
9,0.0695,3.0047261714935303,3.0138248847926267e-06,7812,3.9583332538604736,0.4775,0.2116,0.4032,0.4051,0.8981,0.8931,0.8955,0.4228,36.31818181818182,46.6068,2.36,1.18,0.0,0.0,0.0,0,0.0
10,0.0592,2.580061197280884,1.3824884792626728e-08,13020,4.018008232116699,0.4724,0.2094,0.3964,0.3976,0.8964,0.8932,0.8947,0.4217,36.88181818181818,47.4005,2.321,1.16,1652.8511,5.245,2.626,4924420787539968,0.284325072292908
