epoch,loss,grad_norm,learning_rate,step,eval_loss,eval_rouge/rouge1,eval_rouge/rouge2,eval_rouge/rougeL,eval_rouge/rougeLsum,eval_bertscore/bertscore-precision,eval_bertscore/bertscore-recall,eval_bertscore/bertscore-f1,eval_meteor,eval_gen_len,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1,2.1693,9.440285682678223,0.00027013824884792627,868,4.520562648773193,0.2693,0.0703,0.2315,0.232,0.8864,0.8585,0.8722,0.2188,29,33.1484,3.318,1.659,0.0,0.0,0.0,0,0.0
2,1.3403,15.004185676574707,0.00024013824884792627,1736,5.039475917816162,0.3061,0.0778,0.251,0.2513,0.8875,0.864,0.8755,0.239,32,41.4797,2.652,1.326,0.0,0.0,0.0,0,0.0
3,1.1783,10.61748218536377,0.00021034562211981567,2604,5.133874416351318,0.2426,0.0523,0.1835,0.1835,0.8501,0.8566,0.8533,0.248,52,53.2872,2.064,1.032,0.0,0.0,0.0,0,0.0
4,0.8203,11.696843147277832,0.00018034562211981565,3472,5.6678290367126465,0.3347,0.0996,0.2675,0.2678,0.8793,0.8662,0.8727,0.2663,27,31.4622,3.496,1.748,0.0,0.0,0.0,0,0.0
5,0.623,7.573220729827881,0.00015034562211981565,4340,6.173222541809082,0.2961,0.0668,0.2313,0.2314,0.8628,0.8608,0.8617,0.2421,52,55.8911,1.968,0.984,0.0,0.0,0.0,0,0.0
6,0.5051,6.668473243713379,0.00012034562211981565,5208,6.101050853729248,0.2953,0.0542,0.2213,0.2211,0.8685,0.8588,0.8636,0.2403,34,42.5182,2.587,1.294,0.0,0.0,0.0,0,0.0
7,0.4004,6.513743877410889,9.034562211981567e-05,6076,6.884843349456787,0.2613,0.0803,0.214,0.2142,0.8711,0.8469,0.8588,0.2102,26,32.2809,3.408,1.704,0.0,0.0,0.0,0,0.0
8,0.3371,13.864540100097656,6.0345622119815664e-05,6944,7.298699378967285,0.2132,0.0353,0.1717,0.1717,0.8605,0.8522,0.8563,0.1839,27,37.4795,2.935,1.467,0.0,0.0,0.0,0,0.0
9,0.2954,5.240084648132324,3.0345622119815666e-05,7812,7.46919059753418,0.244,0.063,0.1986,0.1986,0.8544,0.8608,0.8575,0.211,52,51.5313,2.135,1.067,0.0,0.0,0.0,0,0.0
10,0.2576,2.361544132232666,3.4562211981566817e-07,13020,7.699863910675049,0.2439,0.0504,0.2065,0.2067,0.8544,0.8581,0.8562,0.229,44,47.7605,2.303,1.152,1613.7424,5.373,2.689,4924420787539968,0.792697985600766
