epoch,loss,grad_norm,learning_rate,step,eval_loss,eval_rouge/rouge1,eval_rouge/rouge2,eval_rouge/rougeL,eval_rouge/rougeLsum,eval_bertscore/bertscore-precision,eval_bertscore/bertscore-recall,eval_bertscore/bertscore-f1,eval_meteor,eval_gen_len,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1,0.6961,8.171553611755371,0.00027,218,5.508415699005127,0.2572,0.0691,0.1962,0.1962,0.8672,0.8617,0.8644,0.2158,34.0,25.7568,4.271,0.544,0.0,0.0,0.0,0,0.0
2,0.6838,6.510644435882568,0.00023999999999999998,436,5.749358177185059,0.2975,0.0945,0.2493,0.2495,0.8739,0.8626,0.8681,0.2433,27.0,21.4779,5.122,0.652,0.0,0.0,0.0,0,0.0
3,0.5113,5.221427917480469,0.00021027522935779816,654,6.021246433258057,0.2722,0.0714,0.2029,0.2031,0.8612,0.8618,0.8615,0.2582,44.0,30.7146,3.581,0.456,0.0,0.0,0.0,0,0.0
4,0.4108,4.567112922668457,0.00018027522935779814,872,6.595686912536621,0.2916,0.064,0.2118,0.2121,0.8678,0.8659,0.8668,0.2243,47.0,37.18,2.959,0.377,0.0,0.0,0.0,0,0.0
5,0.3585,4.511188507080078,0.00015027522935779814,1090,6.754152774810791,0.2554,0.0561,0.198,0.1977,0.8531,0.8633,0.8581,0.2483,42.0,30.1143,3.653,0.465,0.0,0.0,0.0,0,0.0
6,0.3094,3.763956069946289,0.00012027522935779816,1308,6.995617866516113,0.3041,0.0711,0.2307,0.2305,0.8646,0.8658,0.8652,0.2861,42.0,32.8987,3.344,0.426,0.0,0.0,0.0,0,0.0
7,0.281,2.3594961166381836,9.027522935779816e-05,1526,7.118096351623535,0.2582,0.0781,0.2156,0.2154,0.8771,0.8626,0.8697,0.1855,29.0,25.1607,4.372,0.556,0.0,0.0,0.0,0,0.0
8,0.261,2.512923240661621,6.055045871559633e-05,1744,7.271702289581299,0.3097,0.0856,0.2463,0.2464,0.8589,0.8656,0.8622,0.2246,36.0,26.4513,4.159,0.529,0.0,0.0,0.0,0,0.0
9,0.2415,1.4050766229629517,3.055045871559633e-05,1962,7.444591522216797,0.2906,0.0847,0.2272,0.2274,0.8671,0.8567,0.8618,0.1991,27.0,27.1059,4.058,0.516,0.0,0.0,0.0,0,0.0
10,0.2228,3.8421568870544434,5.504587155963303e-07,3270,7.5825629234313965,0.2532,0.0528,0.2067,0.2071,0.8514,0.8621,0.8567,0.2303,46.49090909090909,31.8117,3.458,0.44,1234.7435,7.022,0.883,6080177508999168,0.3976233858580983
