epoch,loss,grad_norm,learning_rate,step,eval_loss,eval_rouge/rouge1,eval_rouge/rouge2,eval_rouge/rougeL,eval_rouge/rougeLsum,eval_bertscore/bertscore-precision,eval_bertscore/bertscore-recall,eval_bertscore/bertscore-f1,eval_meteor,eval_gen_len,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1,0.3072,7.366342544555664,2.702073732718894e-06,868,6.460134029388428,0.2705,0.0674,0.225,0.2255,0.861,0.855,0.8579,0.2231,30.454545454545453,34.6521,3.174,1.587,0.0,0.0,0.0,0,0.0
2,0.3542,8.283567428588867,2.402073732718894e-06,1736,6.682418346405029,0.3111,0.0793,0.2212,0.2213,0.8659,0.864,0.8649,0.228,36.0,39.8722,2.759,1.379,0.0,0.0,0.0,0,0.0
3,0.3893,5.384849548339844,2.102073732718894e-06,2604,6.6462082862854,0.3097,0.0856,0.2463,0.2464,0.8585,0.8656,0.862,0.2246,36.0,40.0505,2.747,1.373,0.0,0.0,0.0,0,0.0
4,0.363,5.548544883728027,1.802073732718894e-06,3472,6.728342056274414,0.3097,0.0856,0.2463,0.2464,0.8585,0.8656,0.862,0.2246,36.0,40.0275,2.748,1.374,0.0,0.0,0.0,0,0.0
5,0.3521,6.773416519165039,1.502073732718894e-06,4340,6.774179935455322,0.3097,0.0856,0.2463,0.2464,0.8585,0.8656,0.862,0.2246,36.0,47.9133,2.296,1.148,0.0,0.0,0.0,0,0.0
6,0.3425,5.4135847091674805,1.2027649769585253e-06,5208,6.810714244842529,0.2439,0.0504,0.2065,0.2067,0.8544,0.8581,0.8562,0.229,45.0,52.1574,2.109,1.054,0.0,0.0,0.0,0,0.0
7,0.3306,4.667799949645996,9.027649769585254e-07,6076,6.843299388885498,0.2522,0.07,0.2096,0.2101,0.8377,0.8632,0.8502,0.2476,47.93636363636364,51.1755,2.149,1.075,0.0,0.0,0.0,0,0.0
8,0.3259,inf,6.034562211981567e-07,6944,6.865322113037109,0.2515,0.0697,0.2094,0.21,0.8374,0.8631,0.85,0.2474,48.0,51.0648,2.154,1.077,0.0,0.0,0.0,0,0.0
9,0.3228,6.756977081298828,3.034562211981567e-07,7812,6.862095832824707,0.2515,0.0697,0.2094,0.21,0.8374,0.8631,0.85,0.2474,48.0,51.1506,2.151,1.075,0.0,0.0,0.0,0,0.0
10,0.3193,5.142840385437012,3.456221198156682e-09,13020,6.871886730194092,0.2515,0.0697,0.2094,0.21,0.8374,0.8631,0.85,0.2474,48.0,51.1869,2.149,1.074,1659.6267,5.224,2.615,4924420787539968,0.34068245602093533
