epoch,loss,grad_norm,learning_rate,step,eval_loss,eval_rouge/rouge1,eval_rouge/rouge2,eval_rouge/rougeL,eval_rouge/rougeLsum,eval_bertscore/bertscore-precision,eval_bertscore/bertscore-recall,eval_bertscore/bertscore-f1,eval_meteor,eval_gen_len,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1,0.4698,6.929529190063477,2.7027649769585256e-06,434,6.033186435699463,0.2584,0.0526,0.1868,0.1869,0.8466,0.8559,0.8512,0.2654,55,43.676,2.519,0.641,0.0,0.0,0.0,0,0.0
2,0.4866,6.039615154266357,2.404147465437788e-06,868,6.16438627243042,0.3111,0.0793,0.2212,0.2213,0.8659,0.864,0.8649,0.228,36,30.941,3.555,0.905,0.0,0.0,0.0,0,0.0
3,0.4497,4.408156394958496,2.104147465437788e-06,1302,6.2267937660217285,0.3111,0.0793,0.2212,0.2213,0.8659,0.864,0.8649,0.228,36,40.3968,2.723,0.693,0.0,0.0,0.0,0,0.0
4,0.4248,4.5200300216674805,1.804147465437788e-06,1736,6.30314302444458,0.3111,0.0793,0.2212,0.2213,0.8659,0.864,0.8649,0.228,36,30.3719,3.622,0.922,0.0,0.0,0.0,0,0.0
5,0.4054,5.527780532836914,1.5041474654377882e-06,2170,6.402435302734375,0.3111,0.0793,0.2212,0.2213,0.8659,0.864,0.8649,0.228,36,29.2464,3.761,0.957,0.0,0.0,0.0,0,0.0
6,0.3937,4.129981994628906,1.204147465437788e-06,2604,6.467464923858643,0.3111,0.0793,0.2212,0.2213,0.8659,0.864,0.8649,0.228,36,31.52,3.49,0.888,0.0,0.0,0.0,0,0.0
7,0.3833,4.438519477844238,9.041474654377881e-07,3038,6.503993988037109,0.3111,0.0793,0.2212,0.2213,0.8659,0.864,0.8649,0.228,36,29.7443,3.698,0.941,0.0,0.0,0.0,0,0.0
8,0.3761,3.880742311477661,6.041474654377881e-07,3472,6.526992321014404,0.3111,0.0793,0.2212,0.2213,0.8659,0.864,0.8649,0.228,36,29.8704,3.683,0.937,0.0,0.0,0.0,0,0.0
9,0.374,4.153579235076904,3.04147465437788e-07,3906,6.545361042022705,0.3111,0.0793,0.2212,0.2213,0.8659,0.864,0.8649,0.228,36,36.0612,3.05,0.776,0.0,0.0,0.0,0,0.0
10,0.3686,3.6682536602020264,4.1474654377880184e-09,6510,6.551795482635498,0.3111,0.0793,0.2212,0.2213,0.8659,0.864,0.8649,0.228,36,35.7009,3.081,0.784,1346.6034,6.438,1.611,5550942739046400,0.4131999354208669
