epoch,loss,grad_norm,learning_rate,step,eval_loss,eval_rouge/rouge1,eval_rouge/rouge2,eval_rouge/rougeL,eval_rouge/rougeLsum,eval_bertscore/bertscore-precision,eval_bertscore/bertscore-recall,eval_bertscore/bertscore-f1,eval_meteor,eval_gen_len,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1,0.2585,5.746618270874023,2.7e-06,218,6.718752384185791,0.323,0.081,0.2516,0.2521,0.8764,0.8641,0.8702,0.2583,36.0,33.2998,3.303,0.42,0.0,0.0,0.0,0,0.0
2,0.3824,5.965571403503418,2.4027522935779816e-06,436,6.760242462158203,0.2515,0.0697,0.2094,0.21,0.8374,0.8631,0.85,0.2474,48.0,32.9167,3.342,0.425,0.0,0.0,0.0,0,0.0
3,0.3739,inf,2.1055045871559636e-06,654,6.740879058837891,0.3111,0.0793,0.2212,0.2213,0.8659,0.864,0.8649,0.228,36.0,30.5267,3.603,0.459,0.0,0.0,0.0,0,0.0
4,0.3565,5.110919952392578,1.8055045871559635e-06,872,6.731381416320801,0.2439,0.0504,0.2065,0.2067,0.8544,0.8581,0.8562,0.229,45.0,34.431,3.195,0.407,0.0,0.0,0.0,0,0.0
5,0.3514,5.240099906921387,1.5055045871559632e-06,1090,6.764769554138184,0.2553,0.0701,0.2111,0.2116,0.839,0.8634,0.8509,0.2466,47.45454545454545,33.3828,3.295,0.419,0.0,0.0,0.0,0,0.0
6,0.3434,4.819148063659668,1.2055045871559635e-06,1308,6.768890380859375,0.271,0.0725,0.2029,0.2034,0.8612,0.8618,0.8614,0.2584,45.0,34.663,3.173,0.404,0.0,0.0,0.0,0,0.0
7,0.335,2.9044888019561768,9.055045871559633e-07,1526,6.784512996673584,0.2722,0.0714,0.2029,0.2031,0.8612,0.8618,0.8615,0.2582,45.0,32.4339,3.392,0.432,0.0,0.0,0.0,0,0.0
8,0.337,3.69500994682312,6.055045871559633e-07,1744,6.787003993988037,0.2601,0.0623,0.1995,0.1999,0.8579,0.8595,0.8586,0.2431,45.0,32.369,3.398,0.433,0.0,0.0,0.0,0,0.0
9,0.3328,2.4413583278656006,3.055045871559633e-07,1962,6.79500150680542,0.2515,0.0697,0.2094,0.21,0.8374,0.8631,0.85,0.2474,48.0,33.426,3.291,0.419,0.0,0.0,0.0,0,0.0
10,0.34,6.169556617736816,5.504587155963303e-09,3270,6.793318748474121,0.2524,0.0705,0.2098,0.2104,0.8386,0.8631,0.8506,0.2495,47.86363636363637,33.07,3.326,0.423,1276.6253,6.791,0.854,6080177508999168,0.34110155893028327
