epoch,loss,grad_norm,learning_rate,step,eval_loss,eval_rouge/rouge1,eval_rouge/rouge2,eval_rouge/rougeL,eval_rouge/rougeLsum,eval_bertscore/bertscore-precision,eval_bertscore/bertscore-recall,eval_bertscore/bertscore-f1,eval_meteor,eval_gen_len,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1,0.0043,0.016030533239245415,5e-06,174,3.967038869857788,0.4794,0.2341,0.4098,0.4105,0.8988,0.9001,0.8993,0.4454,41.30909090909091,38.0124,2.894,0.579,0.0,0.0,0.0,0,0.0
2,0.0021,0.12850384414196014,9.827586206896553e-06,348,3.9845833778381348,0.482,0.2397,0.4136,0.4144,0.8988,0.8999,0.8993,0.4495,41.21818181818182,37.8065,2.91,0.582,0.0,0.0,0.0,0,0.0
3,0.0026,0.04268589988350868,9.46360153256705e-06,522,4.009698867797852,0.4788,0.2365,0.4095,0.4104,0.8982,0.8995,0.8987,0.4461,41.32727272727273,37.6916,2.918,0.584,0.0,0.0,0.0,0,0.0
4,0.0028,0.02789846993982792,8.920817369093232e-06,696,4.033222198486328,0.4773,0.2371,0.4078,0.4086,0.8974,0.8989,0.898,0.4476,41.69090909090909,39.2415,2.803,0.561,0.0,0.0,0.0,0,0.0
5,0.0027,0.07433252781629562,8.365261813537676e-06,870,4.049180507659912,0.4799,0.2368,0.4087,0.4095,0.8981,0.8997,0.8988,0.4493,41.68181818181818,38.7651,2.838,0.568,0.0,0.0,0.0,0,0.0
6,0.0023,0.03375822678208351,7.80970625798212e-06,1044,4.065958023071289,0.4766,0.2319,0.405,0.4055,0.8971,0.899,0.8979,0.4466,41.82727272727273,38.8713,2.83,0.566,0.0,0.0,0.0,0,0.0
7,0.0023,0.036236416548490524,7.254150702426566e-06,1218,4.081906318664551,0.4777,0.2334,0.4066,0.407,0.8978,0.8988,0.8982,0.4457,41.527272727272724,38.8256,2.833,0.567,0.0,0.0,0.0,0,0.0
8,0.0023,0.02166474610567093,6.7049808429118775e-06,1392,4.091248989105225,0.4799,0.2336,0.4085,0.4092,0.8979,0.8994,0.8985,0.4496,41.63636363636363,38.9291,2.826,0.565,0.0,0.0,0.0,0,0.0
9,0.0021,0.02463430166244507,6.149425287356322e-06,1566,4.103519916534424,0.4774,0.2328,0.4067,0.4075,0.8979,0.899,0.8983,0.4456,41.59090909090909,38.8987,2.828,0.566,0.0,0.0,0.0,0,0.0
10,0.0025,0.12481816858053207,5.593869731800766e-06,1740,4.117744445800781,0.4769,0.2321,0.4058,0.4064,0.898,0.8989,0.8983,0.4438,41.17272727272727,38.2595,2.875,0.575,0.0,0.0,0.0,0,0.0
11,0.0124,0.32360076904296875,5.051085568326948e-06,1914,4.105551242828369,0.4773,0.2327,0.4065,0.4069,0.8974,0.8992,0.8982,0.4466,41.75454545454546,38.607,2.849,0.57,0.0,0.0,0.0,0,0.0
12,0.0119,0.9936548471450806,4.4955300127713925e-06,2088,4.100667476654053,0.4737,0.2291,0.4029,0.4036,0.8968,0.8992,0.8979,0.4442,41.972727272727276,38.6691,2.845,0.569,0.0,0.0,0.0,0,0.0
13,0.0119,0.35179659724235535,3.939974457215836e-06,2262,4.099205493927002,0.4737,0.2303,0.4035,0.4037,0.8968,0.8987,0.8976,0.4416,41.64545454545455,38.7079,2.842,0.568,0.0,0.0,0.0,0,0.0
14,0.0117,0.3505287766456604,3.3844189016602812e-06,2436,4.094310283660889,0.4763,0.2302,0.4058,0.4058,0.8973,0.8989,0.898,0.4433,41.627272727272725,38.2425,2.876,0.575,0.0,0.0,0.0,0,0.0
15,0.0102,0.11834950745105743,2.835249042145594e-06,2610,4.095031261444092,0.4744,0.2296,0.4041,0.4047,0.8971,0.899,0.8979,0.4434,41.77272727272727,38.4591,2.86,0.572,0.0,0.0,0.0,0,0.0
16,0.0105,0.10776134580373764,2.2796934865900388e-06,2784,4.093142509460449,0.474,0.2286,0.4033,0.4039,0.8972,0.8991,0.898,0.4431,41.78181818181818,38.283,2.873,0.575,0.0,0.0,0.0,0,0.0
17,0.0096,0.18847517669200897,1.7305236270753515e-06,2958,4.092043399810791,0.4743,0.2298,0.4049,0.4052,0.8973,0.8992,0.8981,0.4431,41.69090909090909,37.7054,2.917,0.583,0.0,0.0,0.0,0,0.0
18,0.01,0.24874450266361237,1.1813537675606644e-06,3132,4.091022491455078,0.4756,0.23,0.4055,0.4055,0.8972,0.899,0.898,0.4439,41.68181818181818,37.4264,2.939,0.588,0.0,0.0,0.0,0,0.0
19,0.0105,0.45127224922180176,6.321839080459771e-07,3306,4.091094017028809,0.4752,0.2306,0.4057,0.406,0.8974,0.8993,0.8982,0.4444,41.67272727272727,37.8571,2.906,0.581,0.0,0.0,0.0,0,0.0
20,0.0094,0.3153217136859894,7.662835249042146e-08,5220,4.090780735015869,0.4752,0.2304,0.4054,0.4058,0.8974,0.8993,0.8982,0.4445,41.70909090909091,37.9678,2.897,0.579,2188.8309,7.922,0.795,9383662873589760,0.006705527213113061
