epoch,loss,grad_norm,learning_rate,step,eval_loss,eval_rouge/rouge1,eval_rouge/rouge2,eval_rouge/rougeL,eval_rouge/rougeLsum,eval_bertscore/bertscore-precision,eval_bertscore/bertscore-recall,eval_bertscore/bertscore-f1,eval_meteor,eval_gen_len,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1,0.0048,0.01582309789955616,4.953917050691245e-06,434,4.019134998321533,0.4796,0.2348,0.4105,0.4113,0.8989,0.8999,0.8993,0.445,41.163636363636364,74.5346,1.476,0.738,0.0,0.0,0.0,0,0.0
2,0.0019,0.16384586691856384,9.90783410138249e-06,868,4.049018859863281,0.4749,0.2307,0.406,0.4074,0.8979,0.8986,0.8981,0.4412,40.836363636363636,73.1231,1.504,0.752,0.0,0.0,0.0,0,0.0
3,0.0062,0.09431904554367065,9.45468509984639e-06,1302,4.064366340637207,0.4795,0.2336,0.4078,0.4094,0.898,0.9,0.8988,0.4468,41.9,75.117,1.464,0.732,0.0,0.0,0.0,0,0.0
4,0.0062,0.18275214731693268,8.899129544290836e-06,1736,4.066042423248291,0.4789,0.2299,0.4056,0.4062,0.8986,0.899,0.8986,0.4406,41.19090909090909,72.9129,1.509,0.754,0.0,0.0,0.0,0,0.0
5,0.0114,0.09367114305496216,8.34357398873528e-06,2170,4.076062202453613,0.4755,0.2298,0.4046,0.405,0.899,0.8991,0.8989,0.4421,40.81818181818182,72.6922,1.513,0.757,0.0,0.0,0.0,0,0.0
6,0.0106,0.22245770692825317,7.79057859703021e-06,2604,4.085408687591553,0.4732,0.2267,0.401,0.4021,0.8982,0.8992,0.8986,0.4401,41.127272727272725,72.811,1.511,0.755,0.0,0.0,0.0,0,0.0
7,0.0112,0.3552267551422119,7.237583205325142e-06,3038,4.099340438842773,0.4706,0.2273,0.4008,0.402,0.8965,0.8987,0.8975,0.4396,41.71818181818182,74.2813,1.481,0.74,0.0,0.0,0.0,0,0.0
8,0.0108,0.10312020033597946,6.687147977470559e-06,3472,4.094890594482422,0.4696,0.2269,0.3982,0.399,0.8971,0.8987,0.8978,0.442,41.872727272727275,74.1659,1.483,0.742,0.0,0.0,0.0,0,0.0
9,0.0109,0.5352609157562256,6.131592421915003e-06,3906,4.0946149826049805,0.4742,0.2304,0.4035,0.4037,0.8982,0.8992,0.8986,0.4447,41.336363636363636,72.5807,1.516,0.758,0.0,0.0,0.0,0,0.0
10,0.0103,0.6138047575950623,5.58115719406042e-06,4340,4.101742744445801,0.4769,0.2333,0.4064,0.4068,0.8988,0.8996,0.8991,0.4469,41.11818181818182,72.3271,1.521,0.76,0.0,0.0,0.0,0,0.0
11,0.0102,0.3488045632839203,5.033282130056324e-06,4774,4.102774143218994,0.4742,0.2304,0.4032,0.4037,0.898,0.8991,0.8984,0.444,41.45454545454545,72.2866,1.522,0.761,0.0,0.0,0.0,0,0.0
12,0.0101,0.24998514354228973,4.477726574500769e-06,5208,4.1045966148376465,0.4778,0.233,0.4074,0.4078,0.8987,0.8993,0.8989,0.445,40.91818181818182,71.3689,1.541,0.771,0.0,0.0,0.0,0,0.0
13,0.0097,1.4360063076019287,3.9221710189452126e-06,5642,4.1066694259643555,0.4734,0.2296,0.4034,0.4038,0.8979,0.8985,0.8981,0.4396,41.0,72.2236,1.523,0.762,0.0,0.0,0.0,0,0.0
14,0.0092,0.2732418477535248,3.3691756272401437e-06,6076,4.108635425567627,0.4727,0.229,0.4022,0.4027,0.8979,0.8984,0.898,0.4395,41.08181818181818,71.6579,1.535,0.768,0.0,0.0,0.0,0,0.0
15,0.0094,0.3987588882446289,2.813620071684588e-06,6510,4.107645511627197,0.4727,0.2288,0.4025,0.403,0.8978,0.8984,0.898,0.439,41.10909090909091,71.9832,1.528,0.764,0.0,0.0,0.0,0,0.0
16,0.0094,0.2955421805381775,2.2580645161290324e-06,6944,4.107503414154053,0.4733,0.2284,0.4024,0.4033,0.8976,0.8987,0.898,0.4389,41.263636363636365,71.6173,1.536,0.768,0.0,0.0,0.0,0,0.0
17,0.0088,0.4651450216770172,1.7050691244239633e-06,7378,4.107170104980469,0.473,0.2291,0.4034,0.4036,0.8981,0.8986,0.8982,0.4375,41.25454545454546,72.5511,1.516,0.758,0.0,0.0,0.0,0,0.0
18,0.0092,0.25526538491249084,1.1520737327188942e-06,7812,4.106504917144775,0.4712,0.2298,0.4023,0.4024,0.8981,0.8983,0.898,0.4367,40.981818181818184,72.0714,1.526,0.763,0.0,0.0,0.0,0,0.0
19,0.0095,0.12581117451190948,5.965181771633384e-07,8246,4.1058268547058105,0.4708,0.2288,0.4022,0.4026,0.8979,0.8986,0.8981,0.4368,41.32727272727273,72.4601,1.518,0.759,0.0,0.0,0.0,0,0.0
20,0.0091,0.07930570095777512,4.86431131592422e-08,13020,4.1056647300720215,0.4734,0.2314,0.4044,0.4048,0.8983,0.8989,0.8984,0.4395,41.1,72.1381,1.525,0.762,3095.3259,5.602,1.402,8138145362457600,0.008941374121723087
