epoch,loss,grad_norm,learning_rate,step,eval_loss,eval_rouge/rouge1,eval_rouge/rouge2,eval_rouge/rougeL,eval_rouge/rougeLsum,eval_bertscore/bertscore-precision,eval_bertscore/bertscore-recall,eval_bertscore/bertscore-f1,eval_meteor,eval_gen_len,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1,1.0524,4.062646865844727,0.0004976958525345622,434,1.9797691106796265,0.4548,0.2064,0.3831,0.3848,0.8919,0.8942,0.8929,0.4177,41.263636363636365,68.7641,1.6,0.8,0.0,0.0,0.0,0,0.0
2,1.4167,3.2677478790283203,0.0009953917050691244,868,1.9903103113174438,0.4327,0.1886,0.3657,0.3672,0.8947,0.8843,0.8893,0.3692,33.85454545454545,59.7768,1.84,0.92,0.0,0.0,0.0,0,0.0
3,1.3767,5.127817630767822,0.0009452124935995904,1302,2.0041310787200928,0.4527,0.2062,0.3851,0.3862,0.8945,0.8927,0.8934,0.4073,38.07272727272727,63.5347,1.731,0.866,0.0,0.0,0.0,0,0.0
4,1.0766,3.0660364627838135,0.0008934971838197646,1736,2.026761770248413,0.4611,0.2088,0.3905,0.3915,0.8985,0.8923,0.8952,0.4052,36.41818181818182,61.5202,1.788,0.894,0.0,0.0,0.0,0,0.0
5,1.0071,1.0456184148788452,0.0008394777265745008,2170,2.35835337638855,0.4183,0.1611,0.3443,0.3455,0.8901,0.8858,0.8877,0.3591,36.99090909090909,64.1496,1.715,0.857,0.0,0.0,0.0,0,0.0
6,1.1108,0.8856477737426758,0.0007857142857142857,2604,2.573918581008911,0.4169,0.1599,0.3463,0.3463,0.8895,0.8835,0.8861,0.3516,35.263636363636365,62.2513,1.767,0.884,0.0,0.0,0.0,0,0.0
7,1.2043,0.0,0.0007327188940092166,3038,2.788421154022217,0.3995,0.1628,0.3339,0.3347,0.8717,0.8827,0.876,0.341,38.736363636363635,68.9331,1.596,0.798,0.0,0.0,0.0,0,0.0
8,1.24,0.0,0.0006825396825396826,3472,2.788421154022217,0.3995,0.1628,0.3339,0.3347,0.8717,0.8827,0.876,0.341,38.736363636363635,69.0972,1.592,0.796,0.0,0.0,0.0,0,0.0
9,1.2303,0.0,0.0006300563236047108,3906,2.788421154022217,0.3995,0.1628,0.3339,0.3347,0.8717,0.8827,0.876,0.341,38.736363636363635,68.4166,1.608,0.804,0.0,0.0,0.0,0,0.0
10,1.218,0.0,0.0005773169482846903,4340,2.788421154022217,0.3995,0.1628,0.3339,0.3347,0.8717,0.8827,0.876,0.341,38.736363636363635,68.7055,1.601,0.801,0.0,0.0,0.0,0,0.0
11,1.2135,0.0,0.0005248335893497184,4774,2.788421154022217,0.3995,0.1628,0.3339,0.3347,0.8717,0.8827,0.876,0.341,38.736363636363635,69.1714,1.59,0.795,0.0,0.0,0.0,0,0.0
12,1.2276,0.0,0.0004728622631848438,5208,2.788421154022217,0.3995,0.1628,0.3339,0.3347,0.8717,0.8827,0.876,0.341,38.736363636363635,68.2004,1.613,0.806,0.0,0.0,0.0,0,0.0
13,1.2104,0.0,0.0004198668714797747,5642,2.788421154022217,0.3995,0.1628,0.3339,0.3347,0.8717,0.8827,0.876,0.341,38.736363636363635,69.8698,1.574,0.787,0.0,0.0,0.0,0,0.0
14,1.2409,0.0,0.00036917562724014336,6076,2.788421154022217,0.3995,0.1628,0.3339,0.3347,0.8717,0.8827,0.876,0.341,38.736363636363635,69.2859,1.588,0.794,0.0,0.0,0.0,0,0.0
15,4.1714,0.0,0.0003535586277521761,6510,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0006,0.982,0.491,0.0,0.0,0.0,0,0.0
16,0.0,0.0,0.0003535586277521761,6944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.67,0.985,0.493,0.0,0.0,0.0,0,0.0
17,0.0,0.0,0.0003535586277521761,7378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0843,0.981,0.491,0.0,0.0,0.0,0,0.0
18,0.0,0.0,0.0003535586277521761,7812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.9943,0.982,0.491,0.0,0.0,0.0,0,0.0
19,0.0,0.0,0.0003535586277521761,8246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.9604,1.019,0.509,0.0,0.0,0.0,0,0.0
20,0.0,0.0,0.0003535586277521761,13020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.7481,1.012,0.506,3208.9244,5.404,1.352,8138145362457600,1.0498333416776173
