epoch,loss,grad_norm,learning_rate,step,eval_loss,eval_rouge/rouge1,eval_rouge/rouge2,eval_rouge/rougeL,eval_rouge/rougeLsum,eval_bertscore/bertscore-precision,eval_bertscore/bertscore-recall,eval_bertscore/bertscore-f1,eval_meteor,eval_gen_len,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1,0.2264,1.1547855138778687,2.7e-06,434,7.297966957092285,0.2722,0.0714,0.2029,0.2031,0.8612,0.8618,0.8615,0.2582,44.0,37.8878,2.903,0.739,0.0,0.0,0.0,0,0.0
2,0.243,2.2488338947296143,2.401382488479263e-06,868,7.356686115264893,0.2722,0.0714,0.2029,0.2031,0.8612,0.8618,0.8615,0.2582,44.0,34.7617,3.164,0.805,0.0,0.0,0.0,0,0.0
3,0.2153,0.9651125073432922,2.1013824884792626e-06,1302,7.403931617736816,0.2722,0.0714,0.2029,0.2031,0.8612,0.8618,0.8615,0.2582,44.0,37.9737,2.897,0.737,0.0,0.0,0.0,0,0.0
4,0.2144,1.1341372728347778,1.8013824884792627e-06,1736,7.45202112197876,0.2722,0.0714,0.2029,0.2031,0.8612,0.8618,0.8615,0.2582,44.0,37.8761,2.904,0.739,0.0,0.0,0.0,0,0.0
5,0.2122,1.0132399797439575,1.5013824884792628e-06,2170,7.486973762512207,0.2722,0.0714,0.2029,0.2031,0.8612,0.8618,0.8615,0.2582,44.0,37.8337,2.907,0.74,0.0,0.0,0.0,0,0.0
6,0.2117,0.8638864159584045,1.2013824884792627e-06,2604,7.509673118591309,0.2722,0.0714,0.2029,0.2031,0.8612,0.8618,0.8615,0.2582,44.0,37.7617,2.913,0.741,0.0,0.0,0.0,0,0.0
7,0.2116,1.4145293235778809,9.013824884792626e-07,3038,7.530538082122803,0.3097,0.0856,0.2463,0.2464,0.8589,0.8656,0.8622,0.2246,36.0,33.2471,3.309,0.842,0.0,0.0,0.0,0,0.0
8,0.2108,1.6853461265563965,6.013824884792627e-07,3472,7.544109344482422,0.3097,0.0856,0.2463,0.2464,0.8589,0.8656,0.8622,0.2246,36.0,33.1836,3.315,0.844,0.0,0.0,0.0,0,0.0
9,0.2129,1.1161341667175293,3.0138248847926267e-07,3906,7.548274040222168,0.2982,0.0831,0.2333,0.2336,0.8593,0.8643,0.8618,0.2356,38.4,33.6895,3.265,0.831,0.0,0.0,0.0,0,0.0
10,0.2123,1.3276556730270386,1.3824884792626728e-09,6510,7.550639629364014,0.3083,0.0846,0.2429,0.2432,0.8595,0.8658,0.8626,0.2274,36.58181818181818,33.4242,3.291,0.838,1320.2549,6.567,1.644,5550942739046400,0.21706688700733096
