epoch,loss,grad_norm,learning_rate,step,eval_loss,eval_rouge/rouge1,eval_rouge/rouge2,eval_rouge/rougeL,eval_rouge/rougeLsum,eval_bertscore/bertscore-precision,eval_bertscore/bertscore-recall,eval_bertscore/bertscore-f1,eval_meteor,eval_gen_len,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1,3.3364,6.581085681915283,0.00027027649769585253,434,3.895214557647705,0.2911,0.0832,0.2351,0.2361,0.8685,0.8711,0.8697,0.2279,43.0,36.5508,3.01,0.766,0.0,0.0,0.0,0,0.0
2,2.369,7.2421650886535645,0.00024041474654377877,868,4.0594000816345215,0.2603,0.0584,0.2204,0.2202,0.871,0.8545,0.8626,0.2129,35.0,33.3851,3.295,0.839,0.0,0.0,0.0,0,0.0
3,1.4708,6.2842206954956055,0.00021041474654377878,1302,4.606133460998535,0.2722,0.0714,0.2029,0.2031,0.8612,0.8618,0.8615,0.2582,45.0,39.0239,2.819,0.718,0.0,0.0,0.0,0,0.0
4,0.9251,6.054475784301758,0.00018041474654377878,1736,5.223886966705322,0.2333,0.0475,0.1761,0.1762,0.8431,0.8562,0.8495,0.2342,58.82727272727273,52.694,2.088,0.531,0.0,0.0,0.0,0,0.0
5,0.6367,6.290797233581543,0.0001504147465437788,2170,5.819339275360107,0.2622,0.0744,0.2001,0.1997,0.8634,0.8616,0.8625,0.1982,32.0,33.2834,3.305,0.841,0.0,0.0,0.0,0,0.0
6,0.486,4.717860698699951,0.00012041474654377878,2604,6.297507286071777,0.2591,0.0557,0.2009,0.2012,0.859,0.8605,0.8597,0.2511,48.00909090909091,37.6167,2.924,0.744,0.0,0.0,0.0,0,0.0
7,0.3892,5.378098964691162,9.04147465437788e-05,3038,6.500186443328857,0.2582,0.0781,0.2156,0.2154,0.8771,0.8626,0.8697,0.1855,29.0,27.3903,4.016,1.022,0.0,0.0,0.0,0,0.0
8,0.3152,3.045849084854126,6.04147465437788e-05,3472,6.735161781311035,0.313,0.0882,0.2413,0.2416,0.8789,0.8681,0.8735,0.2252,34.0,31.8801,3.45,0.878,0.0,0.0,0.0,0,0.0
9,0.2751,1.6373295783996582,3.0414746543778802e-05,3906,6.997021198272705,0.2906,0.0847,0.2272,0.2274,0.8671,0.8567,0.8618,0.1991,27.0,29.3529,3.747,0.954,0.0,0.0,0.0,0,0.0
10,0.24,1.946550965309143,4.147465437788018e-07,6510,7.163340091705322,0.2439,0.0504,0.2065,0.2067,0.8544,0.8581,0.8562,0.229,45.0,36.3703,3.024,0.77,1321.4325,6.561,1.642,5550942739046400,1.0443559163177067
