epoch,loss,grad_norm,learning_rate,step,eval_loss,eval_rouge/rouge1,eval_rouge/rouge2,eval_rouge/rougeL,eval_rouge/rougeLsum,eval_bertscore/bertscore-precision,eval_bertscore/bertscore-recall,eval_bertscore/bertscore-f1,eval_meteor,eval_gen_len,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1,2.3299,18.301448822021484,2.7013824884792627e-05,868,2.1997382640838623,0.4484,0.2127,0.3842,0.3856,0.8939,0.8904,0.892,0.4107,38.42727272727273,62.6002,1.757,0.879,0.0,0.0,0.0,0,0.0
2,1.6174,9.847392082214355,2.401382488479263e-05,1736,2.0580756664276123,0.4617,0.2158,0.3919,0.393,0.8972,0.8907,0.8938,0.4049,36.054545454545455,46.5903,2.361,1.181,0.0,0.0,0.0,0,0.0
3,1.1854,10.663750648498535,2.102073732718894e-05,2604,2.1887857913970947,0.4631,0.2153,0.3893,0.3914,0.9,0.891,0.8953,0.4044,35.82727272727273,46.9684,2.342,1.171,0.0,0.0,0.0,0,0.0
4,0.8568,13.664467811584473,1.8020737327188942e-05,3472,2.3776469230651855,0.4518,0.201,0.3822,0.3839,0.8973,0.8895,0.8932,0.3907,34.763636363636365,44.131,2.493,1.246,0.0,0.0,0.0,0,0.0
5,0.6056,10.457554817199707,1.5020737327188939e-05,4340,2.6467573642730713,0.4731,0.2207,0.4031,0.4036,0.8974,0.8946,0.8959,0.4173,37.58181818181818,49.1216,2.239,1.12,0.0,0.0,0.0,0,0.0
6,0.4235,16.8388729095459,1.202073732718894e-05,5208,2.922560930252075,0.4816,0.2258,0.4055,0.4064,0.8989,0.8955,0.897,0.4317,36.89090909090909,46.7891,2.351,1.175,0.0,0.0,0.0,0,0.0
7,0.2995,5.4862494468688965,9.02073732718894e-06,6076,3.1938445568084717,0.4541,0.1989,0.3839,0.3843,0.8941,0.8916,0.8927,0.4071,37.00909090909091,48.4513,2.27,1.135,0.0,0.0,0.0,0,0.0
8,0.2079,9.856609344482422,6.02073732718894e-06,6944,3.4178144931793213,0.4684,0.2094,0.3926,0.3931,0.8941,0.8942,0.894,0.4177,39.45454545454545,50.9855,2.157,1.079,0.0,0.0,0.0,0,0.0
9,0.1527,5.900807857513428,3.02073732718894e-06,7812,3.5346872806549072,0.4716,0.2151,0.3989,0.4009,0.8937,0.8942,0.8938,0.4277,39.59090909090909,49.9793,2.201,1.1,0.0,0.0,0.0,0,0.0
10,0.1203,10.628070831298828,2.0737327188940093e-08,13020,3.654171943664551,0.4733,0.2228,0.409,0.4103,0.8957,0.8945,0.8949,0.4257,38.07272727272727,48.7611,2.256,1.128,1622.3027,5.344,2.675,4924420787539968,0.7798857886670372
