epoch,loss,grad_norm,learning_rate,step,eval_loss,eval_rouge/rouge1,eval_rouge/rouge2,eval_rouge/rougeL,eval_rouge/rougeLsum,eval_bertscore/bertscore-precision,eval_bertscore/bertscore-recall,eval_bertscore/bertscore-f1,eval_meteor,eval_gen_len,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1,0.1989,2.370790958404541,2.7006912442396314e-06,868,7.690618991851807,0.3097,0.0856,0.2463,0.2464,0.8589,0.8656,0.8622,0.2246,36,45.4546,2.42,1.21,0.0,0.0,0.0,0,0.0
2,0.1993,1.4361698627471924,2.4006912442396313e-06,1736,7.737113952636719,0.3097,0.0856,0.2463,0.2464,0.8589,0.8656,0.8622,0.2246,36,45.4405,2.421,1.21,0.0,0.0,0.0,0,0.0
3,0.1978,1.3309537172317505,2.1006912442396316e-06,2604,7.761429309844971,0.3097,0.0856,0.2463,0.2464,0.8589,0.8656,0.8622,0.2246,36,45.5442,2.415,1.208,0.0,0.0,0.0,0,0.0
4,0.1965,1.3868746757507324,1.8006912442396315e-06,3472,7.7989678382873535,0.2722,0.0714,0.2029,0.2031,0.8612,0.8618,0.8615,0.2582,44,44.8282,2.454,1.227,0.0,0.0,0.0,0,0.0
5,0.1968,2.409043788909912,1.5006912442396312e-06,4340,7.820422172546387,0.3097,0.0856,0.2463,0.2464,0.8589,0.8656,0.8622,0.2246,36,45.718,2.406,1.203,0.0,0.0,0.0,0,0.0
6,0.215,2.1920628547668457,1.2006912442396315e-06,5208,7.807253360748291,0.3097,0.0856,0.2463,0.2464,0.8589,0.8656,0.8622,0.2246,36,46.1026,2.386,1.193,0.0,0.0,0.0,0,0.0
7,0.2144,2.4985077381134033,9.013824884792626e-07,6076,7.800262928009033,0.3097,0.0856,0.2463,0.2464,0.8589,0.8656,0.8622,0.2246,36,45.5986,2.412,1.206,0.0,0.0,0.0,0,0.0
8,0.2133,6.4568071365356445,6.013824884792627e-07,6944,7.797372341156006,0.3097,0.0856,0.2463,0.2464,0.8589,0.8656,0.8622,0.2246,36,37.8392,2.907,1.454,0.0,0.0,0.0,0,0.0
9,0.2136,1.8160871267318726,3.0138248847926267e-07,7812,7.7947001457214355,0.3097,0.0856,0.2463,0.2464,0.8589,0.8656,0.8622,0.2246,36,45.6341,2.41,1.205,0.0,0.0,0.0,0,0.0
10,0.2119,2.1308159828186035,1.3824884792626728e-09,13020,7.79570198059082,0.3097,0.0856,0.2463,0.2464,0.8589,0.8656,0.8622,0.2246,36,45.8507,2.399,1.2,1578.9111,5.491,2.749,4924420787539968,0.20573934212258335
