epoch,loss,grad_norm,learning_rate,step,eval_loss,eval_rouge/rouge1,eval_rouge/rouge2,eval_rouge/rougeL,eval_rouge/rougeLsum,eval_bertscore/bertscore-precision,eval_bertscore/bertscore-recall,eval_bertscore/bertscore-f1,eval_meteor,eval_gen_len,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1,0.6036,8.585982322692871,0.00027013824884792627,868,6.432413578033447,0.2828,0.0721,0.2287,0.229,0.8776,0.863,0.8702,0.1865,29,34.017,3.234,1.617,0.0,0.0,0.0,0,0.0
2,0.6828,7.131638050079346,0.00024013824884792627,1736,5.832995414733887,0.2817,0.0594,0.2119,0.2118,0.8553,0.8592,0.8572,0.2216,38,47.6058,2.311,1.155,0.0,0.0,0.0,0,0.0
3,0.5861,9.066841125488281,0.00021020737327188938,2604,6.460394859313965,0.2456,0.0556,0.1909,0.1914,0.8622,0.8598,0.861,0.2363,41,42.81,2.569,1.285,0.0,0.0,0.0,0,0.0
4,0.4888,9.662076950073242,0.0001802073732718894,3472,6.309823989868164,0.2591,0.0557,0.2009,0.2012,0.859,0.8605,0.8597,0.2511,47,47.5978,2.311,1.156,0.0,0.0,0.0,0,0.0
5,0.4314,7.327631950378418,0.00015020737327188938,4340,6.707602024078369,0.3042,0.0843,0.2354,0.2357,0.8695,0.8605,0.8649,0.22,32,33.9559,3.239,1.62,0.0,0.0,0.0,0,0.0
6,0.379,7.379642963409424,0.00012020737327188939,5208,6.717301845550537,0.2844,0.0777,0.2203,0.22,0.8641,0.8631,0.8635,0.2167,34,36.703,2.997,1.499,0.0,0.0,0.0,0,0.0
7,0.3245,4.843767166137695,9.020737327188939e-05,6076,6.838231086730957,0.2613,0.0803,0.214,0.2142,0.8711,0.8469,0.8588,0.2102,25,29.7728,3.695,1.847,0.0,0.0,0.0,0,0.0
8,0.289,5.666109561920166,6.020737327188939e-05,6944,7.0252509117126465,0.2396,0.0481,0.1978,0.198,0.8526,0.8544,0.8534,0.2079,34,45.9249,2.395,1.198,0.0,0.0,0.0,0,0.0
9,0.2575,1.6931006908416748,3.027649769585253e-05,7812,7.126396656036377,0.3089,0.0693,0.2341,0.2343,0.8686,0.8645,0.8665,0.2205,36,38.1006,2.887,1.444,0.0,0.0,0.0,0,0.0
10,0.2312,1.9931846857070923,2.7649769585253456e-07,13020,7.405516624450684,0.2434,0.0406,0.2027,0.203,0.8533,0.8523,0.8528,0.194,34,43.4854,2.53,1.265,1532.6664,5.657,2.832,4924420787539968,0.42738649043070004
