epoch,loss,grad_norm,learning_rate,step,eval_loss,eval_rouge/rouge1,eval_rouge/rouge2,eval_rouge/rougeL,eval_rouge/rougeLsum,eval_bertscore/bertscore-precision,eval_bertscore/bertscore-recall,eval_bertscore/bertscore-f1,eval_meteor,eval_gen_len,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1,0.0785,3.4731645584106445,2.7000000000000002e-05,218,3.983773946762085,0.4581,0.1987,0.3887,0.3892,0.8957,0.8906,0.893,0.4019,35.64545454545455,35.3351,3.113,0.396,0.0,0.0,0.0,0,0.0
2,0.0862,5.198718547821045,2.4e-05,436,3.9074761867523193,0.4574,0.2028,0.3856,0.3863,0.8923,0.8918,0.8919,0.4091,39.154545454545456,38.21,2.879,0.366,0.0,0.0,0.0,0,0.0
3,0.0792,8.753728866577148,2.1e-05,654,3.9794278144836426,0.4593,0.1972,0.3807,0.3814,0.889,0.8926,0.8906,0.4145,41.91818181818182,41.0627,2.679,0.341,0.0,0.0,0.0,0,0.0
4,0.0673,2.8672280311584473,1.8e-05,872,4.041896343231201,0.4634,0.2047,0.3928,0.3937,0.8948,0.8918,0.8931,0.4133,36.69090909090909,34.7029,3.17,0.403,0.0,0.0,0.0,0,0.0
5,0.0604,3.6290955543518066,1.5e-05,1090,4.104799747467041,0.4629,0.2112,0.396,0.3971,0.8956,0.8926,0.8939,0.4118,36.972727272727276,37.4858,2.934,0.373,0.0,0.0,0.0,0,0.0
6,0.0548,3.994854688644409,1.2e-05,1308,4.133063793182373,0.4556,0.2042,0.3904,0.391,0.8938,0.8917,0.8926,0.4079,38.154545454545456,38.3162,2.871,0.365,0.0,0.0,0.0,0,0.0
7,0.0508,2.767534017562866,9e-06,1526,4.173975944519043,0.4546,0.1949,0.383,0.3842,0.8925,0.8903,0.8913,0.4028,37.527272727272724,35.2352,3.122,0.397,0.0,0.0,0.0,0,0.0
8,0.0473,1.7911722660064697,6e-06,1744,4.164255142211914,0.4653,0.212,0.401,0.4026,0.8949,0.8939,0.8942,0.4212,38.481818181818184,38.1733,2.882,0.367,0.0,0.0,0.0,0,0.0
9,0.0438,2.540337085723877,3e-06,1962,4.191323280334473,0.472,0.2155,0.4063,0.4071,0.8969,0.8947,0.8956,0.4223,37.90909090909091,36.7911,2.99,0.381,0.0,0.0,0.0,0,0.0
10,0.0401,1.241921067237854,0.0,3270,4.208365440368652,0.4731,0.2204,0.4091,0.4105,0.8963,0.8954,0.8957,0.4281,38.31818181818182,35.4331,3.104,0.395,1267.4517,6.84,0.86,6080177508999168,0.06084594289097217
